ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Cote d’Ivoire,2020-03-16,"3","0","40780",-5.55549992,7.6317253,Côte d’Ivoire,科特迪瓦,Côte d'Ivoire,Côte d'Ivoire,Кот-д'Ивуар,كوت ديفوار,8b0a9158-6e67-4182-9485-4c58cc9a3e01
Panama,2020-03-16,"43","1","40734",-80.10906884,8.50544318,Panama,巴拿马,Panama,Panamá,Панама,بنما,9ee3fb8a-80ec-4f2d-bd76-4cebccc1ebf7
Germany,2020-03-16,"4838","12","40681",10.39232967,51.11015396,Germany,德国,Allemagne,Alemania,Германия,ألمانيا,78b59118-4209-4fd7-9bae-4f3afd2b1274
Afghanistan,2020-03-16,"21","0","40630",66.02652977,33.83890116,Afghanistan,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان,94625f0b-fb34-424d-8b24-523336fded92
Egypt,2020-03-16,"126","2","40669",29.78210708,26.5565646,Egypt,埃及,Égypte,Egipto,Египет,مصر,25a6c646-ee56-4e7f-9b90-5405022fd530
San Marino,2020-03-16,"102","9","40752",12.46035762,43.94191474,San Marino,圣马力诺,Saint-Marin,San Marino,Сан-Марино,سان مارينو,1d5694be-cd20-4f13-9b75-564e1baadb46
Uzbekistan,2020-03-16,"4","0","40777",63.16950578,41.75041661,Uzbekistan,乌兹别克斯坦,Ouzbékistan,Uzbekistán,Узбекистан,أوزبكستان,b1033d73-d9d3-4541-98e3-582b0ec074cc
Estonia,2020-03-16,"205","0","40671",25.5257709,58.67400787,Estonia,爱沙尼亚,Estonie,Estonia,Эстония,إستونيا,19c28eca-14bb-40a7-90fd-583016d57235
Puerto Rico,2020-03-16,"3","0","40740",-66.46612748,18.22093074,Puerto Rico,,,,,,e08c918b-8df2-48b5-bdb4-58a973a2bbdd
Indonesia,2020-03-16,"134","4","40695",117.31101692,-2.22903453,Indonesia,印度尼西亚,Indonésie,Indonesia,Индонезия,إندونيسيا,39d1d15a-d0ea-4e30-a1b7-58cbb203eb16
Philippines,2020-03-16,"142","12","40737",122.87360743,11.74740203,Philippines,菲律宾,Philippines,Filipinas,Филиппины,الفلبين,e3d6b724-a116-4475-9997-58e452ef2a5c
French Polynesia,2020-03-16,"3","0","40678",-149.568,-17.532,French Polynesia,,,,,,d0d84af1-4d49-4c2f-b7d6-6065d3bf9b0d
Iran (Islamic Republic of),2020-03-16,"14991","853","40697",54.30141376,32.56479959,Iran (Islamic Republic of),伊朗（伊斯兰共和国）,Iran (République islamique d'),Irán (República Islámica del),Иран (Исламская Республика),إيران (جمهورية - الإسلامية),6c2a6881-750f-48be-95a6-65e3fc113c2f
Republic of Korea,2020-03-16,"8236","75","40742",127.82934392,36.36770228,Republic of Korea,大韩民国,République de Corée,República de Corea,Республика Корея,جمهورية كوريا,26c8f8e3-a7b4-4752-8bd8-663b2ea1c99d
South Africa,2020-03-16,"51","0","40760",25.08871199,-28.99321352,South Africa,南非,Afrique du Sud,Sudáfrica,Южная Африка,جنوب أفريقيا,840b4bee-f6b8-4209-8909-6748ea4c1625
Trinidad and Tobago,2020-03-16,"2","0","40770",-61.25263722,10.46836429,Trinidad and Tobago,特立尼达和多巴哥,Trinité-et-Tobago,Trinidad y Tabago,Тринидад и Тобаго ,ترينيداد وتوباغو,83b85758-3dd7-4e43-a655-69a78064fcce
